ID,Name,Url,Park,Start date,End date,Teams,City,State,Result
640,Calcasieu Couyon Classic,https://youth.2dsports.org/events/calcasieu-couyon-classic-lake-charles-la-04-29-2023,SWLA TOURNAMENTS,04/29,4/30/2023,3,Lake Charles,LA,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
688,I-20 Challenge,https://youth.2dsports.org/events/i-20-challenge-vicksburg-ms-04-29-2023,MISSISSIPPI TOURNAMENTS,04/29,4/30/2023,0,Vicksburg,MS,"7u Open - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u Select Series - $0.00, 10u AA - $150.00, 10u Open - $150.00, 11u Select Series - $0.00, 11u AA - $150.00, 11u Open - $150.00, 12u Select Series - $0.00, 12u AA - $150.00, 12u Open - $150.00, 13u Select Series - $0.00, 13u AA - $150.00, 13u Open - $150.00, 14u Select Series - $0.00, 14u Open - $150.00"
682,Lucky 7 Crazy 8s Extravaganza,https://youth.2dsports.org/events/lucky-7-crazy-8s-extravaganza-ruston-bossier-la-04-29-2023,NORTH LA TOURNAMENTS,04/29,4/30/2023,0,Ruston,LA,"7u Open - $50.00, 8u AA - $50.00, 8u Open - $50.00"
687,North Louisiana Slugfest,https://youth.2dsports.org/events/north-louisiana-slugfest-ruston-bossier-la-04-29-2023,NORTH LA TOURNAMENTS,04/29,4/30/2023,1,"Ruston, Bossier",LA,"9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u Select Series - $0.00, 11u AA - $150.00, 11u Open - $150.00, 12u Select Series - $0.00, 12u AA - $150.00, 12u Open - $150.00, 13u Select Series - $0.00, 13u AA - $150.00, 13u Open - $150.00, 14u Select Series - $0.00, 14u Open - $150.00"
584,Red Bird Classic,https://youth.2dsports.org/events/red-bird-classic-poplar-bluff-mo-04-29-2023,,04/29,4/30/2023,1,Poplar Bluff,MO,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
582,Rotolo's Pizza Slugfest (Deep South),https://youth.2dsports.org/events/southeast-spring-shootout-iv-zachary-watson-la-04-29-2023,DEEP SOUTH TOURNAMENTS,04/29,4/30/2023,24,"Zachary, Watson",LA,"7u Open - $0.00, 8u AA - $0.00, 8u Open - $150.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u Select Series - $0.00, 11u AA - $150.00, 11u Open - $150.00, 12u Select Series - $0.00, 12u AA - $150.00, 12u Open - $150.00, 13u Select Series - $0.00, 13u AA - $150.00, 13u Open - $150.00, 14u Select Series - $0.00, 14u AA - $150.00, 14u Open - $150.00"
639,Suwannee Turf Classic,https://youth.2dsports.org/events/suwannee-turf-classic-pensacola-fl-04-29-2023,FLORIDA TOURNAMENTS,04/29,4/30/2023,0,Live Oak,FL,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $250.00, 9u Open - $250.00, 10u AA - $250.00, 10u Open - $250.00, 11u AA - $250.00, 11u Open - $250.00, 12u AA - $250.00, 12u Open - $250.00, 13u AA - $250.00, 13u Open - $250.00, 14u AA - $250.00, 14u Open - $250.00"
638,White River Turf Classic,https://youth.2dsports.org/events/white-river-turf-classic-mountain-home-ar-04-29-2023,ARKANSAS TOURNAMENTS,04/29,4/30/2023,5,Mountain Home,AR,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
674,Border Battle,https://youth.2dsports.org/events/border-battle-sterlington-la-05-27-2023,NORTH LA TOURNAMENTS,05/27,5/29/2023,0,Sterlington,LA,"7u AA - $0.00, 7u Open - $0.00, 8u AA - $0.00, 8u Open - $0.00, 9u AA - $150.00, 9u Open - $150.00, 10u AA - $150.00, 10u Open - $150.00, 11u AA - $150.00, 11u Open - $150.00, 12u AA - $150.00, 12u Open - $150.00, 13u AA - $150.00, 13u Open - $150.00, 14u AA - $150.00, 14u Open - $150.00"
655,Burns Park Summer Slam,https://youth.2dsports.org/events/-burns-park-little-rock-ar-05-27-2023,ARKANSAS TOURNAMENTS,05/27,5/28/2023,0,Little Rock,AR,"7u AA - $100.00, 7u Open - $100.00, 8u AA - $100.00, 8u Open - $100.00, 9u AA - $100.00, 9u Open - $100.00, 10u AA - $100.00, 10u Open - $100.00, 11u AA - $100.00, 11u Open - $100.00, 12u AA - $100.00, 12u Open - $100.00, 13u AA - $100.00, 13u Open - $100.00, 14u AA - $100.00, 14u Open - $100.00"
