Division,Fee,Event ID,Event Name,URL,Date,City,State,Park,Teams
8U,60,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,31-Mar,DENHAM SPRINGS,LA,NORTH PARK,0
9U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,1-Apr,DENHAM SPRINGS,LA,NORTH PARK,1
10U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,2-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
11U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,3-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
12U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,4-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,5-Apr,DENHAM SPRINGS,LA,NORTH PARK,1
14U,175,2395,Louisiana March Madness Classic,https://www.grandslamtournaments.com/baseball/Events/2395/louisiana-march-madness-classic,6-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
7U,60,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,7-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
8U,60,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,8-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
9U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,9-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
10U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,10-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
11U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,11-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
12U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,12-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
13U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,13-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,1
14U,175,2396,Bucket Hat Bash,https://www.grandslamtournaments.com/baseball/Events/2396/bucket-hat-bash,14-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
7U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,15-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
8U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,16-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
9U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,17-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
10U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,18-Apr,MONROE,LA,ULM UNIVERSITY PARK,3
11U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,19-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
12U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,20-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
13U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,21-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
14U,200,2318,Rumble in the North,https://www.grandslamtournaments.com/baseball/Events/2318/rumble-in-the-north,22-Apr,MONROE,LA,ULM UNIVERSITY PARK,0
7U,60,2397,Coach Pitch Spring Classic,https://www.grandslamtournaments.com/baseball/Events/2397/coach-pitch-spring-classic,23-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
8U,60,2397,Coach Pitch Spring Classic,https://www.grandslamtournaments.com/baseball/Events/2397/coach-pitch-spring-classic,24-Apr,ST. FRANCISVILLE,LA,WEST FELICIANA SPORTS PARK,0
13U,175,2432,13u Brawlin on the Bayou,https://www.grandslamtournaments.com/baseball/Events/2432/13u-brawlin-on-the-bayou,25-Apr,THIBODAUX,LA,HERO'S PARK,0
7U,60,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,26-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
8U,60,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,27-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
9U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,28-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
10U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,29-Apr,DENHAM SPRINGS,LA,NORTH PARK,1
11U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,30-Apr,DENHAM SPRINGS,LA,NORTH PARK,0
12U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,1-May,DENHAM SPRINGS,LA,NORTH PARK,0
13U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,2-May,DENHAM SPRINGS,LA,NORTH PARK,1
14U,175,2398,1st Annual Autism Awareness Classic,https://www.grandslamtournaments.com/baseball/Events/2398/1st-annual-autism-awareness-classic,3-May,DENHAM SPRINGS,LA,NORTH PARK,0
