Event ID,Event Name,Date,URL,City,State,Park,Division,Fee,Teams
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,7U-AA,25,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,7U-AAA,25,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,8U-AA,25,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,8U-AAA,25,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,9U-AA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,9U-AAA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,10U-AA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,10U-AAA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,11U-AA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,11U-AAA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,11U-MAJ,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,12U-AA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,12U-AAA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,12U-MAJ,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,13U-AA,150,0
787,Abbeville Turf Event!,02/18,https://offthechainsports.com/baseball/Events/Details/787/abbeville-turf-event,Abbeville,LA,AA Comeaux Park Turf,13U-AAA,150,0
